Transaction Date,Post Date,Description,Category,Type,Amount,Memo
04/23/2025,04/25/2025,UNITED      0162480260475,Travel,Sale,-1109.76,
04/23/2025,04/25/2025,UNITED      0164491036972,Travel,Sale,-44.99,
04/23/2025,04/25/2025,UNITED      0162480265843,Travel,Sale,-1200.41,
04/23/2025,04/25/2025,UNITED      0162480265841,Travel,Sale,-1202.71,
04/23/2025,04/25/2025,TRADER JOE S #701,Groceries,Sale,-37.38,
04/24/2025,04/25/2025,Prime Video Channels,Shopping,Sale,-5.50,
04/24/2025,04/25/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.53,
04/23/2025,04/24/2025,Payment Thank You-Mobile,,Payment,7498.70,
04/24/2025,04/24/2025,NVN* TRP FEE NNOTQX,Travel,Sale,-24.00,
04/22/2025,04/24/2025,TST*FLACOS TACOS - DEAR,Food & Drink,Sale,-15.42,
04/23/2025,04/24/2025,TST* TOTTO'S MARKET,Groceries,Sale,-13.80,
04/23/2025,04/24/2025,TST* TOTTO'S MARKET,Groceries,Sale,-2.39,
04/21/2025,04/23/2025,NORTHSIDE CENTER FOR RELA,Health & Wellness,Sale,-25.00,
04/23/2025,04/23/2025,Amazon.com*SE62U7823,Shopping,Sale,-38.33,
04/22/2025,04/23/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-10.25,
04/22/2025,04/23/2025,SQ *NECESSARY &amp; SUFFICIEN,Food & Drink,Sale,-15.28,
04/20/2025,04/22/2025,5GUYS 0582 QSR,Food & Drink,Sale,-23.33,
04/21/2025,04/22/2025,TARGET        00018895,Shopping,Sale,-38.73,
04/20/2025,04/22/2025,TRADER JOE S #701,Groceries,Sale,-65.49,
04/20/2025,04/21/2025,Amazon.com*7L15L73R3,Shopping,Sale,-81.55,
04/21/2025,04/21/2025,MINT MOBILE,Bills & Utilities,Sale,-247.27,
04/21/2025,04/21/2025,AMAZON MKTPL*4I7JN5I13,Shopping,Sale,-17.85,
04/20/2025,04/21/2025,WALGREENS #7179,Health & Wellness,Sale,-11.24,
04/20/2025,04/21/2025,TST* TOTTO'S MARKET,Groceries,Sale,-14.95,
